detector,tracker,device,n,det_mean_ms,det_p99_ms,det_fps,trk_mean_ms,trk_p99_ms,e2e_mean_ms,e2e_fps
yolov8s,bytetrack,cpu,500,74.792,78.947,13.37,3.053,3.855,77.845,12.85
yolov8s,deepsort,cpu,500,84.116,115.552,11.89,581.607,818.132,665.723,1.5
yolov8s,bytetrack,cuda,500,8.53,9.835,117.23,4.482,5.839,13.012,76.85
yolov8s,deepsort,cuda,500,17.05,20.602,58.65,1035.358,1370.382,1052.408,0.95
yolox,bytetrack,cpu,500,101.364,109.483,9.87,2.63,3.405,103.994,9.62
yolox,deepsort,cpu,500,98.163,168.456,10.19,571.209,786.697,669.373,1.49
yolox,bytetrack,cuda,500,12.361,16.562,80.9,4.407,6.393,16.768,59.64
yolox,deepsort,cuda,500,22.188,44.752,45.07,1038.978,1295.723,1061.166,0.94
yolov8s,bytetrack_cmc,cpu,500,75.188,81.009,13.3,14.767,18.677,89.955,11.12
yolox,bytetrack_cmc,cpu,500,107.197,149.841,9.33,9.86,12.715,117.057,8.54
yolov8s,bytetrack_cmc,cuda,500,15.147,16.426,66.02,21.413,27.093,36.56,27.35
yolox,bytetrack_cmc,cuda,500,15.897,16.839,62.9,18.918,23.688,34.816,28.72
