frame_idx,detector_ms,tracker_ms,total_ms
0,73.9474,16.9970,90.9444
1,74.9043,16.4062,91.3105
2,75.1930,14.8471,90.0401
3,74.7589,17.2382,91.9971
4,75.4643,14.8061,90.2704
5,75.2995,14.6185,89.9180
6,77.1574,16.4585,93.6159
7,76.6428,16.7480,93.3908
8,77.2679,18.2673,95.5352
9,76.6017,15.0645,91.6662
10,74.0621,16.1457,90.2078
11,74.4572,16.3884,90.8456
12,73.2039,15.0220,88.2259
13,74.2544,18.5993,92.8537
14,74.8946,16.1607,91.0553
15,75.7807,18.4837,94.2644
16,75.9229,18.4078,94.3307
17,76.0314,18.3422,94.3736
18,75.2665,15.9487,91.2152
19,74.7139,15.6892,90.4031
20,75.3823,14.1399,89.5222
21,76.1647,18.1689,94.3336
22,75.2302,18.2896,93.5198
23,75.3459,15.7129,91.0588
24,74.4827,17.9313,92.4140
25,75.8569,16.6339,92.4908
26,74.4323,17.3195,91.7518
27,74.5917,16.7372,91.3289
28,76.2193,15.8345,92.0538
29,74.3881,16.5399,90.9280
30,75.4710,14.5335,90.0045
31,75.9974,18.4921,94.4895
32,76.6996,15.0216,91.7212
33,74.9727,14.8584,89.8311
34,74.3559,14.8314,89.1873
35,78.8672,18.6766,97.5438
36,78.8738,14.1548,93.0286
37,77.8829,16.4712,94.3541
38,78.4668,18.7026,97.1694
39,80.0738,15.7290,95.8028
40,78.2771,14.6642,92.9413
41,76.9942,17.8978,94.8920
42,78.9810,18.8713,97.8523
43,79.0694,17.1904,96.2598
44,77.6589,16.8812,94.5401
45,77.4847,18.2409,95.7256
46,77.8814,16.5662,94.4476
47,79.1559,17.3987,96.5546
48,78.0811,15.5494,93.6305
49,77.8453,17.5619,95.4072
50,80.3875,15.2830,95.6705
51,78.1022,18.0802,96.1824
52,77.8166,18.5937,96.4103
53,79.5534,18.7667,98.3201
54,79.2174,17.7815,96.9989
55,79.3242,15.6118,94.9360
56,79.1498,14.3418,93.4916
57,80.5031,17.9354,98.4385
58,79.4575,17.1475,96.6050
59,78.0916,14.7872,92.8788
60,78.1544,15.0865,93.2409
61,77.2947,14.1560,91.4507
62,77.5719,14.7023,92.2742
63,78.6620,18.9584,97.6204
64,79.0534,16.2099,95.2633
65,78.0506,18.4241,96.4747
66,77.4289,18.3939,95.8228
67,78.2724,18.2169,96.4893
68,77.6806,14.4413,92.1219
69,78.2033,18.5740,96.7773
70,78.0936,18.7421,96.8357
71,79.8323,18.2408,98.0731
72,78.1501,17.6043,95.7544
73,77.9966,17.7844,95.7810
