frame_idx,detector_ms,tracker_ms,total_ms
0,16.1542,38.2664,54.4206
1,16.3127,25.6543,41.9670
2,16.1868,24.4234,40.6102
3,16.2960,23.5548,39.8508
4,15.8274,22.9763,38.8038
5,15.8317,22.6155,38.4472
6,15.8422,23.1251,38.9673
7,16.2158,23.3266,39.5424
8,16.0869,24.3973,40.4841
9,15.9888,24.8052,40.7940
10,15.7514,23.2054,38.9568
11,15.8809,22.9717,38.8526
12,15.9684,23.8723,39.8407
13,15.9586,23.4337,39.3922
14,15.7050,23.5623,39.2673
15,15.8809,22.4715,38.3524
16,15.8959,22.2687,38.1645
17,16.1372,25.0133,41.1505
18,15.9773,24.2972,40.2745
19,15.7387,23.1888,38.9275
20,15.7042,23.1752,38.8794
21,15.8325,23.4251,39.2576
22,15.9870,22.7514,38.7384
23,15.9995,22.1145,38.1140
24,15.6904,21.8795,37.5699
25,15.7335,22.5413,38.2748
26,15.8167,23.2987,39.1155
27,16.1353,22.9057,39.0410
28,15.8970,22.9451,38.8421
29,15.9838,22.3392,38.3230
30,15.8018,23.7210,39.5228
31,15.9112,24.3829,40.2941
32,16.1335,23.6947,39.8282
33,15.8933,22.6944,38.5878
34,15.9723,23.4841,39.4564
35,15.8177,24.0950,39.9127
36,16.0658,24.3523,40.4181
37,16.0690,24.8637,40.9328
38,16.2098,24.6078,40.8176
39,16.2278,23.1968,39.4246
40,15.7858,24.3868,40.1726
41,15.9283,22.2368,38.1651
42,15.8244,22.9517,38.7760
43,15.8985,22.5024,38.4009
44,15.6086,22.6161,38.2247
45,15.9336,22.8986,38.8321
46,15.8717,22.6255,38.4972
47,15.9064,21.5812,37.4876
48,15.8081,22.1714,37.9795
49,15.7688,21.3571,37.1259
50,15.7830,22.2453,38.0284
51,15.9942,22.4602,38.4544
52,15.9056,22.8567,38.7623
53,15.7656,22.3658,38.1314
54,15.7319,21.9340,37.6659
55,15.8709,21.7301,37.6010
56,15.9733,22.4699,38.4432
57,16.0078,21.9042,37.9120
58,16.1185,22.3287,38.4471
59,15.6711,22.0668,37.7379
60,15.9232,23.3671,39.2903
61,15.9353,22.7422,38.6776
62,15.9004,22.5992,38.4996
63,16.1360,23.8611,39.9970
64,15.6876,24.5465,40.2341
65,16.0297,29.9296,45.9593
66,16.4750,26.7170,43.1921
67,16.1759,22.2041,38.3799
68,16.0260,23.9170,39.9430
69,15.9192,24.6519,40.5711
70,16.0371,24.6680,40.7052
71,16.0811,23.9292,40.0103
72,16.1922,24.2453,40.4375
73,15.9818,23.5946,39.5764
74,15.9118,24.0788,39.9907
75,16.0319,23.4403,39.4723
76,15.9627,22.6787,38.6414
77,15.9258,23.0603,38.9861
78,15.7935,23.3020,39.0954
79,15.9391,22.9311,38.8703
80,15.8693,22.8765,38.7458
81,15.9817,23.5266,39.5083
82,15.9871,22.1578,38.1449
83,15.6844,22.9282,38.6126
84,15.7829,23.2986,39.0815
85,15.8801,23.5094,39.3895
86,16.2454,23.4085,39.6539
87,15.9410,23.5553,39.4963
88,15.8634,24.0050,39.8684
89,16.1226,23.9818,40.1044
90,16.1286,22.9875,39.1161
91,16.0433,26.2256,42.2690
92,15.7925,22.4486,38.2411
93,15.6305,22.6733,38.3039
94,16.0032,22.3240,38.3273
95,15.9999,22.6170,38.6169
96,15.9380,23.0202,38.9582
97,15.7196,22.5768,38.2965
98,15.7218,22.7294,38.4512
99,16.0074,21.6858,37.6932
100,15.9817,23.0361,39.0178
101,16.0485,23.3686,39.4171
102,15.6852,22.3761,38.0613
