frame_idx,detector_ms,tracker_ms,total_ms
0,75.0148,2.5403,77.5551
1,73.9478,3.0641,77.0119
2,74.7534,2.7124,77.4658
3,74.6534,3.4868,78.1402
4,74.6843,3.4925,78.1768
5,74.4594,3.5262,77.9856
6,74.9990,3.6783,78.6773
7,76.3647,3.6651,80.0298
8,74.5823,2.8499,77.4322
9,74.3492,2.7367,77.0859
10,74.7403,3.4803,78.2206
11,74.6115,3.4185,78.0300
12,73.7632,3.6023,77.3655
13,73.1840,3.6381,76.8221
14,75.9721,3.5105,79.4826
15,75.3486,3.5940,78.9426
16,73.9737,3.6346,77.6083
17,75.8207,3.7786,79.5993
18,74.9284,3.4868,78.4152
19,75.5083,3.4547,78.9630
20,75.1326,3.4440,78.5766
21,74.2075,2.7289,76.9364
22,75.6272,3.5461,79.1733
23,74.8353,3.5563,78.3916
24,74.5655,3.5568,78.1223
25,75.5324,3.3916,78.9240
26,75.1934,3.5480,78.7414
27,75.2465,3.5518,78.7983
28,75.5878,3.3131,78.9009
29,74.7179,3.4707,78.1886
30,75.4822,2.8310,78.3132
31,75.7225,3.7091,79.4316
32,75.1139,3.5057,78.6196
33,75.4554,3.4362,78.8916
34,75.1542,3.5155,78.6697
35,74.1288,3.2531,77.3819
36,75.4125,3.5008,78.9133
37,75.3588,3.4466,78.8054
38,75.1519,3.8436,78.9955
39,74.7140,2.6606,77.3746
40,74.6190,2.6989,77.3179
41,75.3027,3.5439,78.8466
42,74.9184,3.4227,78.3411
43,75.6149,3.4320,79.0469
44,75.7419,3.3904,79.1323
45,75.3896,3.2774,78.6670
46,75.1305,3.2161,78.3466
47,76.3487,2.5583,78.9070
48,78.8656,4.3383,83.2039
49,79.2151,2.5978,81.8129
50,78.1784,2.5092,80.6876
51,77.5136,3.4048,80.9184
52,77.3227,3.7123,81.0350
53,74.0202,3.4092,77.4294
54,76.8872,3.2257,80.1129
55,78.2600,2.5775,80.8375
56,78.5061,3.2597,81.7658
57,77.6940,3.3926,81.0866
58,77.6411,3.3437,80.9848
59,78.7008,3.4352,82.1360
60,78.9443,3.4074,82.3517
61,78.1627,3.3557,81.5184
62,78.5604,3.4065,81.9669
63,77.9369,3.6083,81.5452
64,77.5532,3.6753,81.2285
65,78.0029,3.5126,81.5155
66,77.4522,3.5833,81.0355
67,77.2471,2.7170,79.9641
68,77.4784,3.5421,81.0205
69,78.1456,3.7326,81.8782
70,77.3297,3.6163,80.9460
71,77.8088,3.5117,81.3205
72,77.6630,3.7657,81.4287
73,78.7024,3.7624,82.4648
74,78.4449,3.7605,82.2054
75,78.1067,3.8555,81.9622
76,77.6189,3.4776,81.0965
77,78.6477,4.4159,83.0636
78,77.6382,2.7246,80.3628
79,77.0550,3.0674,80.1224
80,77.9430,3.4149,81.3579
81,78.4967,2.8004,81.2971
82,77.8721,2.7679,80.6400
83,77.1639,3.4901,80.6540
84,76.8209,2.6547,79.4756
85,78.2354,3.4251,81.6605
86,77.9657,3.3627,81.3284
87,77.9010,3.3422,81.2432
88,78.2172,2.6936,80.9108
89,78.1534,3.4837,81.6371
90,80.6083,3.4989,84.1072
91,77.3762,3.5946,80.9708
92,77.4001,3.4238,80.8239
93,77.9506,3.5016,81.4522
94,78.1423,3.3651,81.5074
95,75.3769,2.6426,78.0195
96,75.6531,3.2795,78.9326
97,75.3028,3.3891,78.6919
