frame_idx,detector_ms,tracker_ms,total_ms
0,12.4509,4.4522,16.9031
1,12.5001,4.3642,16.8643
2,9.6518,4.5643,14.2162
3,9.6478,5.1795,14.8274
4,9.7857,4.4902,14.2760
5,9.8085,5.1761,14.9846
6,9.8348,5.2369,15.0717
7,9.6477,5.1957,14.8433
8,9.8482,5.0359,14.8842
9,9.4731,4.7577,14.2308
10,9.5962,6.1528,15.7490
11,9.9145,5.7349,15.6494
12,9.5642,5.0554,14.6196
13,9.5904,4.9070,14.4975
14,9.5360,4.9891,14.5252
15,8.9788,5.2437,14.2225
16,8.7183,4.9996,13.7180
17,8.6582,4.9371,13.5953
18,8.8304,4.8826,13.7130
19,8.6733,5.0022,13.6754
20,8.6829,5.0929,13.7757
21,8.6847,4.4773,13.1620
22,8.6484,4.6530,13.3014
23,8.6179,5.0832,13.7011
24,8.5839,4.7958,13.3797
25,8.6207,4.4849,13.1056
26,8.5745,4.7746,13.3491
27,8.5665,5.0248,13.5914
28,8.5677,4.8565,13.4242
29,8.5681,4.7867,13.3548
30,8.4141,5.3477,13.7618
31,8.5159,4.8440,13.3599
32,8.3838,4.7463,13.1301
33,8.3501,4.6965,13.0465
34,8.3601,4.6102,12.9703
35,8.4686,5.0618,13.5304
36,8.3403,4.8262,13.1665
37,8.3933,5.0008,13.3941
38,8.7300,4.9293,13.6593
39,8.4065,4.7901,13.1966
40,8.4027,4.6242,13.0269
41,8.3601,5.0740,13.4341
42,8.3972,4.7890,13.1861
43,8.5049,4.7646,13.2695
44,8.3610,4.7205,13.0815
45,8.3362,4.5250,12.8612
46,8.3096,4.1860,12.4955
47,8.4107,4.2953,12.7061
48,8.3330,4.5935,12.9265
49,8.5452,4.7427,13.2879
50,8.3833,4.6822,13.0654
51,8.3672,4.6688,13.0361
52,8.3081,5.4014,13.7094
53,8.3353,4.8419,13.1772
54,8.4135,4.5779,12.9914
55,8.2872,4.3539,12.6411
56,8.3308,4.5358,12.8666
57,8.4088,4.4738,12.8825
58,8.3866,4.4593,12.8459
59,8.3655,5.0386,13.4041
60,8.3638,5.5814,13.9453
61,8.5530,5.0724,13.6254
62,8.6821,5.4447,14.1269
63,8.7027,5.7415,14.4442
64,8.4637,5.8386,14.3023
65,8.5832,5.6747,14.2579
66,8.5274,5.3686,13.8959
67,8.6275,5.2471,13.8745
68,8.3988,5.4247,13.8235
69,8.6260,6.0383,14.6642
70,8.7239,5.7979,14.5218
71,8.4847,5.1255,13.6102
72,8.5523,5.3092,13.8615
73,8.4844,5.4988,13.9831
74,8.5275,5.4708,13.9983
75,8.6024,4.6180,13.2205
76,8.3650,4.8222,13.1872
77,8.5293,4.5303,13.0596
78,8.3551,4.4917,12.8469
79,8.3693,4.7172,13.0865
80,8.3638,4.5138,12.8776
81,8.3405,4.6617,13.0022
82,8.3659,4.6838,13.0497
83,8.4951,4.4407,12.9358
84,8.5512,6.9127,15.4639
85,8.5220,5.1586,13.6806
86,8.4380,4.6502,13.0882
87,8.4130,4.9398,13.3528
88,8.3798,5.0814,13.4612
89,8.3679,4.9358,13.3037
90,8.4548,4.9145,13.3693
91,8.3677,4.8641,13.2318
92,8.4073,4.6990,13.1063
93,8.3665,5.0889,13.4555
94,8.3637,4.8526,13.2163
95,8.3468,4.9321,13.2789
96,8.3298,5.2122,13.5420
97,8.3103,4.9582,13.2685
98,8.4314,5.0115,13.4428
99,8.4711,5.1806,13.6517
100,8.4625,4.9361,13.3986
101,8.4144,5.4174,13.8318
102,8.5346,5.2190,13.7535
103,8.4222,5.1870,13.6093
104,8.4633,5.0121,13.4754
105,8.3197,4.8997,13.2194
106,8.3149,5.4363,13.7512
107,8.4089,4.8356,13.2445
108,8.5100,4.8889,13.3989
109,8.3632,5.0358,13.3990
110,8.4400,5.0803,13.5203
111,8.3097,4.7688,13.0785
112,8.3343,4.5255,12.8599
113,8.8755,4.7604,13.6359
114,8.5522,4.6815,13.2337
115,8.3015,4.4711,12.7725
116,8.3682,5.1590,13.5272
117,8.3213,4.4950,12.8163
118,8.3195,4.7917,13.1112
119,8.3452,4.6947,13.0399
120,8.3896,4.7517,13.1413
121,8.3689,4.3498,12.7186
122,8.4730,4.4196,12.8926
123,8.3595,4.6670,13.0265
124,8.6475,4.5009,13.1484
125,8.4674,4.2888,12.7562
126,8.5878,4.4044,12.9922
127,8.5037,4.6728,13.1765
128,8.4679,4.6168,13.0847
129,8.5269,5.2858,13.8127
130,8.6251,4.5790,13.2041
131,8.4234,4.5196,12.9430
132,8.3696,4.3194,12.6889
133,8.3939,4.8418,13.2357
134,8.3641,4.3980,12.7620
135,8.3900,4.3759,12.7659
136,8.3786,4.6244,13.0030
137,8.4240,4.9173,13.3413
138,8.4046,5.1011,13.5057
139,8.4120,4.7307,13.1428
140,8.4097,4.7168,13.1265
141,8.6058,5.1511,13.7569
142,8.5039,4.8361,13.3399
143,8.3195,4.7765,13.0959
144,8.3167,4.8959,13.2127
145,8.3480,5.2143,13.5624
146,8.3326,4.9426,13.2752
147,8.3428,4.7932,13.1360
148,8.3013,4.8332,13.1345
149,8.4450,4.6088,13.0538
150,8.3711,4.7489,13.1200
151,8.3417,4.8860,13.2277
152,8.3942,4.7178,13.1120
153,8.4554,4.4143,12.8697
154,8.3857,4.5246,12.9103
155,8.4734,4.5455,13.0188
156,8.4136,5.0427,13.4563
157,8.4355,4.9104,13.3459
158,8.4368,5.1844,13.6213
159,8.4298,4.9386,13.3684
160,9.8629,5.0761,14.9390
161,8.5196,5.2969,13.8165
162,8.4533,4.5362,12.9896
163,8.3909,4.2134,12.6043
164,8.4449,4.1804,12.6253
165,8.3179,4.6246,12.9425
166,8.4341,4.6373,13.0714
167,8.4941,4.3832,12.8772
168,8.3521,4.2887,12.6407
169,8.3446,4.7194,13.0641
170,8.5098,4.6271,13.1369
171,8.3460,4.5673,12.9134
172,8.3646,4.4623,12.8269
173,8.3974,4.2792,12.6766
174,8.3186,4.3316,12.6502
175,8.5978,4.3127,12.9105
176,8.4428,4.3109,12.7537
177,8.5078,4.5817,13.0895
178,8.5579,4.4224,12.9804
179,8.4668,4.5846,13.0513
180,8.4393,4.5054,12.9446
181,8.5908,4.5389,13.1297
182,8.4235,4.5455,12.9690
183,8.3941,4.9509,13.3450
184,8.3619,4.8422,13.2041
