frame_idx,detector_ms,tracker_ms,total_ms
0,76.9480,591.5735,668.5215
1,77.5917,583.2856,660.8773
2,80.8523,632.4005,713.2528
3,78.4039,616.0771,694.4810
4,78.1702,665.6587,743.8289
5,85.4621,675.4259,760.8880
6,76.6021,632.3158,708.9179
7,77.7038,680.3329,758.0367
8,78.2608,667.7458,746.0066
9,80.4696,656.1222,736.5918
10,80.5281,653.9286,734.4567
11,77.1109,690.9413,768.0522
12,82.0713,692.1513,774.2226
13,76.3142,658.4897,734.8039
14,76.8784,707.7700,784.6484
15,80.2336,670.4288,750.6624
16,88.9443,681.9303,770.8746
17,78.8278,717.6626,796.4904
18,87.8917,663.6251,751.5168
19,81.9669,658.4507,740.4176
20,76.8437,669.2583,746.1020
21,103.3025,652.7948,756.0973
22,88.5201,659.3780,747.8981
23,80.0368,696.5930,776.6298
24,89.4669,649.6615,739.1284
25,82.1194,601.5343,683.6537
26,81.6351,647.1711,728.8062
27,81.0445,668.7857,749.8302
28,81.2054,676.8675,758.0729
29,80.2059,740.4694,820.6753
30,82.9178,692.8553,775.7731
31,79.7063,691.7087,771.4150
32,77.6485,690.5955,768.2440
33,77.8110,669.6614,747.4724
34,77.4772,660.1531,737.6303
35,89.5613,686.3580,775.9193
36,84.3393,679.6575,763.9968
37,78.3996,675.9095,754.3091
38,78.8551,694.5316,773.3867
39,78.4142,637.6550,716.0692
40,87.9447,757.5723,845.5170
41,93.8597,639.6843,733.5440
42,78.6811,677.0604,755.7415
43,87.6163,613.6759,701.2922
44,80.7963,603.9692,684.7655
45,83.3973,573.2076,656.6049
46,80.8040,593.9120,674.7160
47,83.8166,592.7700,676.5866
48,81.5748,546.1733,627.7481
49,81.3405,586.7939,668.1344
50,81.1610,541.1285,622.2895
51,81.6132,639.6024,721.2156
52,82.8710,692.7355,775.6065
53,80.9404,593.2772,674.2176
54,76.5946,595.4296,672.0242
55,83.8495,708.4529,792.3024
56,89.7424,695.6089,785.3513
57,85.2432,631.6695,716.9127
58,82.0476,658.1471,740.1947
59,88.4378,753.6425,842.0803
60,89.3555,704.6912,794.0467
61,79.7692,717.5844,797.3536
62,79.8568,696.6706,776.5274
63,92.9486,742.3459,835.2945
64,82.2453,765.5889,847.8342
65,81.8683,721.8930,803.7613
66,80.5858,812.6415,893.2273
67,85.9736,783.7791,869.7527
68,78.0075,801.9100,879.9175
69,104.1933,957.0812,1061.2745
70,101.9080,807.3728,909.2808
71,83.6060,743.6475,827.2535
72,85.9662,818.0232,903.9894
73,83.7340,745.8506,829.5846
74,82.8673,730.3805,813.2478
75,83.7638,759.5523,843.3161
76,84.7734,761.6755,846.4489
77,82.1500,675.2892,757.4392
78,81.6128,692.5992,774.2120
79,81.5920,730.3928,811.9848
80,94.4115,691.4816,785.8931
81,78.8970,641.8753,720.7723
82,82.4576,634.6521,717.1097
83,78.9381,633.8137,712.7518
84,81.8511,655.2401,737.0912
85,80.1182,651.8897,732.0079
86,85.3227,736.9496,822.2723
87,92.3208,685.4746,777.7954
88,77.6011,645.8826,723.4837
89,78.4027,654.8203,733.2230
90,80.0490,659.8692,739.9182
91,80.3081,619.5812,699.8893
92,83.2378,644.8551,728.0929
93,85.4296,666.7356,752.1652
94,81.4397,698.6180,780.0577
95,82.0642,655.7993,737.8635
96,81.2364,709.1455,790.3819
97,84.7444,704.9895,789.7339
