frame_idx,detector_ms,tracker_ms,total_ms
0,16.7677,898.4642,915.2319
1,16.8734,884.9142,901.7876
2,16.7868,955.2835,972.0703
3,17.0649,949.9315,966.9963
4,16.8577,1019.7793,1036.6371
5,16.8371,1073.4784,1090.3156
6,16.8353,983.8523,1000.6876
7,16.8286,1036.6617,1053.4903
8,16.7643,1048.1997,1064.9641
9,16.7590,1013.6998,1030.4588
10,16.8133,986.8022,1003.6154
11,18.0487,1037.6193,1055.6680
12,16.7901,1017.6405,1034.4306
13,17.0293,1017.8068,1034.8360
14,16.8430,1079.6786,1096.5216
15,17.0369,1131.6266,1148.6636
16,17.5010,1101.6758,1119.1768
17,17.6566,1096.1733,1113.8299
18,17.0433,1009.8758,1026.9191
19,17.0240,1073.5846,1090.6086
20,16.9568,1040.9811,1057.9379
21,17.1818,1020.2633,1037.4451
22,16.8457,1080.9556,1097.8012
23,17.2124,1069.6342,1086.8466
24,16.8761,1033.9108,1050.7869
25,16.9611,957.6757,974.6368
26,17.0471,1040.9805,1058.0276
27,16.8762,1088.3315,1105.2077
28,16.8966,1149.5738,1166.4704
29,17.1813,1220.9494,1238.1307
30,17.2724,1260.8445,1278.1169
31,17.2594,1136.0944,1153.3538
32,17.1817,1104.5232,1121.7049
33,20.4612,1182.9581,1203.4193
34,17.1005,1103.4301,1120.5306
35,17.1695,1114.8947,1132.0643
36,16.9358,1099.8651,1116.8009
37,17.0460,1113.6796,1130.7255
38,16.9784,1137.7186,1154.6971
39,20.0010,1007.9278,1027.9288
40,17.0155,1109.4739,1126.4894
41,17.2428,1019.3155,1036.5583
42,16.9597,1141.8152,1158.7749
43,17.0189,993.0741,1010.0930
44,16.9767,956.5861,973.5629
45,16.9652,936.5655,953.5307
46,16.9325,967.9034,984.8359
47,17.1807,1018.6557,1035.8363
48,17.0127,963.5962,980.6089
49,17.0197,984.1289,1001.1486
50,17.3580,960.8619,978.2199
51,17.4227,1031.5801,1049.0028
52,16.9485,1186.7254,1203.6740
53,16.9909,1003.8560,1020.8469
54,17.0274,971.0818,988.1093
55,17.1805,1071.1213,1088.3018
56,16.9450,1067.2987,1084.2437
57,17.1546,1080.2877,1097.4422
58,17.2500,1113.5577,1130.8077
59,16.9900,1179.6340,1196.6240
60,17.0472,1142.8128,1159.8600
61,17.1265,1224.7116,1241.8380
62,17.0172,1165.7414,1182.7586
63,16.9932,1205.5037,1222.4969
64,17.0717,1346.8136,1363.8853
65,16.9659,1231.1535,1248.1194
66,16.9828,1381.9426,1398.9254
67,19.1637,1371.6195,1390.7832
68,17.1963,1460.5590,1477.7553
69,17.0423,1635.7521,1652.7944
70,17.0144,1411.6986,1428.7130
71,17.0333,1308.9670,1326.0003
72,17.0486,1393.9995,1411.0481
73,17.0410,1372.2231,1389.2641
74,17.1666,1327.0283,1344.1948
75,16.9688,1309.1684,1326.1371
76,29.3589,1337.0003,1366.3592
77,16.9343,1282.5926,1299.5269
78,17.1397,1286.7960,1303.9356
79,16.9435,1302.4692,1319.4127
80,16.9550,1230.4383,1247.3933
81,16.9513,1184.9198,1201.8711
82,16.8390,1176.6996,1193.5386
83,16.8444,1218.6508,1235.4952
84,16.7402,1192.5463,1209.2864
85,16.7743,1236.9597,1253.7340
86,18.8354,1150.5146,1169.3501
87,17.0736,1194.4962,1211.5698
88,16.7868,1192.4850,1209.2718
89,17.0777,1174.9826,1192.0603
90,19.0793,1172.7236,1191.8029
91,16.7937,1145.3882,1162.1819
92,16.9121,1248.4333,1265.3453
93,16.7799,1254.6945,1271.4744
94,16.9906,1252.0079,1268.9985
95,17.1119,1244.7853,1261.8972
96,16.8967,1298.9963,1315.8930
97,16.9514,1314.1883,1331.1397
98,16.7716,1234.7238,1251.4954
99,16.8254,1218.1512,1234.9766
100,20.1814,1341.4659,1361.6474
101,16.8947,1281.0296,1297.9243
102,16.8429,1187.8848,1204.7277
103,17.0812,1165.1813,1182.2625
104,17.1059,1147.8809,1164.9868
105,17.6076,1298.3415,1315.9491
106,17.0480,1291.9306,1308.9787
107,17.1574,1190.5952,1207.7526
108,20.3705,1123.3780,1143.7485
109,16.9001,1139.0481,1155.9481
110,17.0265,1165.0782,1182.1047
111,17.3842,1125.7887,1143.1729
112,17.0641,1092.5354,1109.5995
113,17.0732,1117.5169,1134.5901
114,16.9773,1127.0286,1144.0059
115,19.0216,1197.9482,1216.9698
116,16.9275,1173.5909,1190.5184
117,17.2147,1224.2037,1241.4184
118,16.8516,1245.8505,1262.7021
119,17.0301,1195.8102,1212.8403
120,26.9424,1255.0804,1282.0228
121,17.0169,1250.0896,1267.1064
122,17.3223,1224.1951,1241.5174
123,17.1287,1190.4472,1207.5759
124,17.0802,1266.1246,1283.2047
125,16.9569,1176.8888,1193.8457
126,17.2155,1263.3478,1280.5633
127,16.9485,1272.2877,1289.2363
128,17.0315,1236.3956,1253.4272
129,16.9259,1197.2846,1214.2105
130,17.4844,1255.4588,1272.9432
131,17.4058,1211.4537,1228.8595
132,16.9090,1253.5082,1270.4171
133,17.0019,1215.7528,1232.7548
134,17.2883,1196.3387,1213.6270
135,17.0401,1170.5947,1187.6347
136,16.9504,1204.4518,1221.4021
137,16.9168,1256.4898,1273.4065
138,17.0078,1260.4959,1277.5036
139,17.0001,1236.4863,1253.4864
140,20.9981,1281.3940,1302.3921
141,17.1004,1204.6584,1221.7589
142,16.8910,1151.4756,1168.3667
143,17.1679,1150.4365,1167.6044
144,17.1070,1159.0166,1176.1236
145,17.0264,1177.9590,1194.9854
146,17.0971,1243.0766,1260.1737
147,16.9893,1217.7153,1234.7047
148,16.9495,1281.4769,1298.4264
149,17.2195,1216.2143,1233.4338
150,16.8952,1193.9772,1210.8724
151,17.0076,1153.9965,1171.0041
152,16.9620,1137.1431,1154.1052
153,17.1394,1174.2408,1191.3802
154,17.0721,1216.1520,1233.2242
155,17.0091,1187.6895,1204.6986
156,16.8893,1252.7569,1269.6462
157,17.1776,1304.2144,1321.3919
158,17.0845,1221.5106,1238.5951
159,16.7962,1302.5949,1319.3911
160,16.8478,1221.5245,1238.3723
161,16.9167,1172.3984,1189.3151
162,17.0972,1167.9826,1185.0798
163,17.0335,1134.0694,1151.1029
164,16.9131,1169.8641,1186.7772
165,21.3958,1180.9724,1202.3683
166,16.8634,1160.6850,1177.5483
167,17.0494,1120.4350,1137.4844
168,16.9573,1223.8247,1240.7820
169,17.0639,1242.7929,1259.8568
170,17.0488,1168.7591,1185.8079
171,16.9928,1122.6760,1139.6688
172,16.9543,1127.5435,1144.4978
173,17.0919,1158.0167,1175.1086
174,17.0477,1121.0282,1138.0759
175,17.1295,1138.2865,1155.4160
176,17.3889,1128.6030,1145.9919
177,17.2745,1157.5327,1174.8073
178,17.3653,1154.5259,1171.8912
179,17.0572,1177.3627,1194.4199
180,17.2851,1211.4329,1228.7179
181,17.0480,1174.8033,1191.8513
182,16.9885,1193.8637,1210.8522
183,16.9922,1188.1412,1205.1334
184,16.9027,1195.0492,1211.9518
185,16.9920,1221.6419,1238.6339
186,16.9241,1229.7152,1246.6393
187,16.9705,1213.3389,1230.3094
188,16.9664,1198.6026,1215.5691
189,17.0828,1209.3479,1226.4307
190,16.9756,1197.6221,1214.5977
191,19.1180,1178.8744,1197.9924
192,16.9193,1187.4319,1204.3512
193,16.9161,1151.4930,1168.4091
194,16.9458,1157.1005,1174.0463
195,16.9376,1183.6202,1200.5578
196,17.1384,1162.8743,1180.0127
197,17.1377,1196.0845,1213.2222
198,17.2157,1236.1523,1253.3680
199,16.9075,1141.1388,1158.0464
200,17.1201,1133.7727,1150.8928
201,16.8782,1149.3984,1166.2766
202,16.9247,1131.1699,1148.0946
203,16.9121,1140.4337,1157.3457
204,17.0881,1162.5866,1179.6747
205,16.9374,1223.9945,1240.9319
206,16.8697,1214.9076,1231.7772
207,20.1255,1241.7008,1261.8263
208,17.1555,1189.3303,1206.4858
209,17.2700,1142.1892,1159.4592
210,17.0580,1111.1591,1128.2171
211,17.1563,1192.4727,1209.6290
212,16.9971,1183.8942,1200.8913
213,17.1420,1191.1006,1208.2426
214,17.1368,1067.9051,1085.0418
215,17.1118,1226.4248,1243.5365
216,17.2053,1171.2454,1188.4507
217,21.7229,1114.8307,1136.5536
218,17.1601,1109.6968,1126.8569
219,17.2078,1178.0572,1195.2650
