frame_idx,detector_ms,tracker_ms,total_ms
0,105.5591,9.6873,115.2464
1,107.2320,10.7062,117.9382
2,105.6778,10.7901,116.4679
3,106.8911,11.4281,118.3192
4,113.4933,12.1149,125.6082
5,114.1650,11.7287,125.8937
6,116.1358,11.3137,127.4495
7,107.0408,10.8141,117.8549
8,106.0346,10.8029,116.8375
9,108.0996,10.9296,119.0292
10,106.9356,10.7368,117.6724
11,107.9290,10.7479,118.6769
12,107.4599,11.4154,118.8753
13,108.1560,10.9108,119.0668
14,102.8517,11.0012,113.8529
15,107.6972,11.4126,119.1098
16,107.5238,10.9724,118.4962
17,103.8184,10.4538,114.2722
18,108.3205,10.7104,119.0309
19,103.6391,10.7736,114.4127
20,102.5779,10.7378,113.3157
21,104.5297,10.7747,115.3044
22,99.8112,10.2113,110.0225
23,104.5151,10.6700,115.1851
24,107.1630,10.4743,117.6373
25,100.8656,10.2758,111.1414
26,104.3332,10.3500,114.6832
27,105.5922,9.7443,115.3365
28,103.7882,9.9608,113.7490
29,102.0599,11.3121,113.3720
30,101.7578,10.8683,112.6261
31,106.0988,10.8506,116.9494
32,104.7005,10.6942,115.3947
33,103.1271,9.7600,112.8871
34,105.0486,9.7569,114.8055
35,104.1897,11.0953,115.2850
36,103.0201,10.6585,113.6786
37,104.0450,10.7395,114.7845
38,104.3042,10.5822,114.8864
39,104.2557,10.5753,114.8310
40,99.9001,10.6325,110.5326
41,99.2003,10.4878,109.6881
42,104.7641,10.1419,114.9060
43,101.4913,10.5497,112.0410
44,104.4184,9.7888,114.2072
45,104.0493,9.5480,113.5973
46,103.7523,11.0685,114.8208
47,104.7716,9.7369,114.5085
48,103.9773,9.2130,113.1903
49,103.5602,9.9329,113.4931
50,97.3413,10.2304,107.5717
51,99.7444,10.3495,110.0939
52,104.6309,10.1454,114.7763
53,103.8763,10.2388,114.1151
54,102.9506,10.1538,113.1044
55,102.4905,10.0587,112.5492
56,98.6519,9.9941,108.6460
57,108.1162,10.8183,118.9345
58,107.5445,9.4721,117.0166
59,103.4008,9.7130,113.1138
60,103.7257,10.5667,114.2924
61,103.7268,10.2204,113.9472
62,103.4752,10.6058,114.0810
63,106.3055,10.5925,116.8980
64,104.2908,10.6163,114.9071
65,104.8235,10.4309,115.2544
66,106.6357,10.4574,117.0931
67,107.0204,10.3106,117.3310
68,104.9271,10.5403,115.4674
69,104.1349,10.9886,115.1235
70,106.8123,10.8566,117.6689
71,106.8486,9.8361,116.6847
72,107.3020,10.8780,118.1800
73,106.9188,11.2949,118.2137
74,107.7231,11.1519,118.8750
75,106.8459,10.5526,117.3985
76,103.8519,11.1892,115.0411
77,110.2674,10.9138,121.1812
78,108.2817,10.6090,118.8907
79,104.3218,10.5871,114.9089
80,104.2574,10.1618,114.4192
81,98.0824,10.6192,108.7016
82,103.3714,10.6067,113.9781
83,101.2263,10.6476,111.8739
84,103.1824,10.4681,113.6505
85,104.3770,10.1415,114.5185
86,96.3609,10.3596,106.7205
87,104.8518,10.4113,115.2631
88,102.5979,10.1822,112.7801
89,102.6639,10.6660,113.3299
90,104.2421,10.6040,114.8461
91,104.7920,10.4464,115.2384
92,103.4842,10.6247,114.1089
93,105.1689,10.5769,115.7458
94,103.9302,10.1054,114.0356
95,104.3950,9.8441,114.2391
96,103.9365,10.3655,114.3020
97,117.9438,10.9005,128.8443
98,101.9864,10.8160,112.8024
99,103.4607,10.8031,114.2638
100,102.9827,10.6836,113.6663
101,101.8099,10.9697,112.7796
102,101.8938,10.2746,112.1684
103,100.1816,10.9182,111.0998
104,104.3422,9.9279,114.2701
105,102.8395,10.6663,113.5058
106,99.6355,10.3638,109.9993
107,103.5174,10.6305,114.1479
108,103.0149,10.3310,113.3459
109,104.1188,10.6636,114.7824
110,102.4033,10.8971,113.3004
111,105.9139,10.7415,116.6554
112,103.8467,10.5332,114.3799
113,100.5450,10.9653,111.5103
114,103.2483,9.9361,113.1844
115,103.0094,9.9448,112.9542
116,101.9963,10.3589,112.3552
117,103.1493,10.6751,113.8244
118,103.9887,10.6392,114.6279
119,108.1850,11.2644,119.4494
120,106.0196,10.7328,116.7524
121,108.0984,10.1879,118.2863
122,108.7250,10.4689,119.1939
123,103.1459,10.6404,113.7863
124,107.3871,10.5423,117.9294
125,107.5122,10.0484,117.5606
126,103.7404,10.2903,114.0307
127,106.3735,10.8035,117.1770
128,107.7090,10.7891,118.4981
129,109.1157,10.8071,119.9228
130,107.2271,10.6288,117.8559
131,103.1414,10.3582,113.4996
132,106.7733,10.5301,117.3034
133,108.7815,10.2615,119.0430
134,108.4081,10.7033,119.1114
135,110.6105,10.2488,120.8593
136,106.2205,10.4459,116.6664
137,105.3854,10.7986,116.1840
138,106.2516,10.6359,116.8875
139,107.3085,10.7204,118.0289
140,106.5043,10.7732,117.2775
141,100.3643,10.1227,110.4870
142,102.4849,10.1755,112.6604
143,101.0511,10.5938,111.6449
144,105.0969,10.2759,115.3728
145,105.7290,10.5315,116.2605
146,105.1776,10.4203,115.5979
147,98.9558,10.5903,109.5461
148,105.5446,10.6333,116.1779
149,110.1399,10.4371,120.5770
150,108.1260,10.5840,118.7100
151,111.0610,10.8562,121.9172
152,116.1383,10.3368,126.4751
153,107.7574,10.5465,118.3039
154,99.7282,10.8607,110.5889
155,108.5432,9.9085,118.4517
156,105.5402,11.4365,116.9767
157,105.5195,10.6573,116.1768
158,105.6177,10.9673,116.5850
159,107.8376,10.6942,118.5318
160,140.3839,12.9189,153.3028
161,120.5877,10.9866,131.5743
162,121.6544,11.2083,132.8627
163,121.4696,11.3224,132.7920
164,161.1412,10.3422,171.4834
165,112.9979,10.9377,123.9356
166,107.2716,10.2333,117.5049
167,100.5698,10.5980,111.1678
168,129.9438,11.5676,141.5114
169,128.2271,12.9085,141.1356
170,126.6738,11.4042,138.0780
171,158.8068,11.0865,169.8933
172,113.4025,10.3489,123.7514
173,108.1128,9.9903,118.1031
174,106.2444,10.5703,116.8147
175,105.8005,10.2666,116.0671
176,107.1054,10.6455,117.7509
177,106.4101,10.8162,117.2263
178,108.8630,10.9033,119.7663
179,101.4499,10.3867,111.8366
180,106.6848,10.4258,117.1106
181,105.8406,10.5619,116.4025
182,103.7610,10.3385,114.0995
183,105.6604,9.7219,115.3823
184,107.1211,10.6252,117.7463
185,107.1827,10.7023,117.8850
186,108.8227,10.2570,119.0797
187,106.6163,9.8909,116.5072
188,106.3769,10.7964,117.1733
189,108.1675,10.8195,118.9870
190,107.1717,10.4605,117.6322
191,105.0165,10.7822,115.7987
192,101.2623,10.7568,112.0191
193,105.0595,9.6572,114.7167
194,104.5773,10.2945,114.8718
195,111.6774,11.5382,123.2156
196,104.5074,10.1188,114.6262
197,107.2608,10.6495,117.9103
198,113.4001,11.2940,124.6941
199,115.3900,10.7347,126.1247
200,112.0133,11.0861,123.0994
201,114.6603,10.6813,125.3416
202,111.0105,10.6406,121.6511
203,108.5784,10.4770,119.0554
204,108.7761,10.6079,119.3840
205,104.9338,10.4953,115.4291
206,106.8612,9.9087,116.7699
207,106.1628,10.2209,116.3837
208,106.6899,10.4533,117.1432
209,107.7872,10.6513,118.4385
210,108.2260,10.1103,118.3363
211,107.0574,10.2113,117.2687
212,108.2148,10.0731,118.2879
213,107.9702,10.2949,118.2651
214,107.6470,10.4339,118.0809
215,109.4995,9.9997,119.4992
216,109.8134,10.1278,119.9412
217,103.3154,10.3215,113.6369
218,103.3906,10.0153,113.4059
219,105.3023,10.3113,115.6136
220,101.5465,10.0899,111.6364
221,106.0714,10.1098,116.1812
222,104.8032,10.6313,115.4345
223,105.9270,10.6202,116.5472
224,108.9578,9.6375,118.5953
225,104.5614,10.6420,115.2034
226,104.6214,10.3728,114.9942
227,106.9541,9.3138,116.2679
228,105.7710,10.3297,116.1007
229,106.2050,10.6298,116.8348
230,106.6790,11.0445,117.7235
231,109.6833,10.9614,120.6447
232,110.6479,9.9667,120.6146
233,105.1949,10.5696,115.7645
234,111.7168,11.6088,123.3256
235,120.4985,11.4904,131.9889
236,113.7500,10.4054,124.1554
237,110.9203,9.8582,120.7785
238,108.0642,9.5949,117.6591
239,106.1084,9.8894,115.9978
240,106.6838,10.4301,117.1139
241,109.0589,10.4527,119.5116
242,104.8816,9.7663,114.6479
243,107.8465,10.8830,118.7295
244,107.2818,10.7797,118.0615
245,108.0294,10.8802,118.9096
246,110.1674,12.4603,122.6277
247,117.6136,11.9355,129.5491
248,111.7345,10.7063,122.4408
249,109.9780,10.0956,120.0736
250,106.3701,9.4339,115.8040
251,103.0218,10.3339,113.3557
252,105.7054,10.1689,115.8743
253,102.4861,9.5697,112.0558
254,107.1250,10.4524,117.5774
255,105.6141,9.8826,115.4967
256,105.9460,10.7163,116.6623
257,101.0452,10.5292,111.5744
258,105.0407,10.7168,115.7575
259,105.9688,10.1323,116.1011
260,108.0126,10.4337,118.4463
261,102.2173,10.2609,112.4782
262,107.1588,9.8835,117.0423
263,105.7163,9.9335,115.6498
264,105.7467,9.7279,115.4746
265,106.8148,9.1124,115.9272
266,104.4954,9.6600,114.1554
267,112.8162,14.6237,127.4399
268,112.7947,10.0452,122.8399
269,103.5938,10.1122,113.7060
270,104.9310,11.3890,116.3200
271,107.1099,9.6805,116.7904
272,112.3714,10.6373,123.0087
273,110.2257,11.3637,121.5894
274,124.1465,10.6340,134.7805
275,161.3115,10.8294,172.1409
276,118.2775,10.8126,129.0901
277,124.3176,11.4540,135.7716
278,117.7573,10.9727,128.7300
279,115.2073,11.0587,126.2660
280,117.1262,10.9694,128.0956
281,113.1353,10.4088,123.5441
282,107.9701,9.7102,117.6803
283,106.4541,10.1530,116.6071
284,106.0902,10.0434,116.1336
285,106.2568,10.0107,116.2675
286,105.5691,9.6720,115.2411
287,111.0169,10.2276,121.2445
288,122.8412,15.9307,138.7719
289,159.6652,12.8411,172.5063
290,129.1185,10.9035,140.0220
291,121.2824,10.4988,131.7812
292,111.3804,11.0504,122.4308
293,136.0988,11.8603,147.9591
294,124.3860,11.1179,135.5039
295,109.5752,10.7616,120.3368
296,109.6000,10.1022,119.7022
297,109.5362,10.1748,119.7110
298,106.5714,9.9993,116.5707
299,108.4781,9.6567,118.1348
300,107.4316,9.5716,117.0032
301,105.9297,9.8727,115.8024
302,108.9286,10.3570,119.2856
303,105.2664,10.0853,115.3517
304,114.5115,8.8846,123.3961
305,104.9281,9.8656,114.7937
306,102.7183,9.7463,112.4646
307,107.5177,9.5338,117.0515
308,108.4963,9.5362,118.0325
309,106.8538,9.2954,116.1492
310,107.8988,9.5456,117.4444
311,106.8087,9.9476,116.7563
312,104.7720,9.4805,114.2525
313,106.5058,9.3644,115.8702
314,107.6797,9.3854,117.0651
315,107.1703,9.1304,116.3007
316,104.2093,9.6117,113.8210
317,105.1520,9.7296,114.8816
318,106.6656,9.1313,115.7969
319,106.1665,9.6443,115.8108
320,106.8984,10.3421,117.2405
321,106.8380,10.3392,117.1772
322,110.3618,9.4370,119.7988
323,105.8465,9.4407,115.2872
324,105.9166,10.3021,116.2187
325,106.6968,9.6131,116.3099
326,107.4715,10.4248,117.8963
327,107.0928,9.2057,116.2985
328,107.8838,10.1131,117.9969
329,107.7741,9.8747,117.6488
330,106.8038,9.2367,116.0405
331,106.5517,9.9298,116.4815
332,107.7566,9.9718,117.7284
333,109.4698,10.3434,119.8132
334,108.6758,9.3098,117.9856
335,105.0419,9.6712,114.7131
336,109.8122,10.1924,120.0046
337,112.1781,10.0050,122.1831
338,107.2805,9.9078,117.1883
339,111.1536,9.3140,120.4676
340,108.3357,9.3007,117.6364
341,112.5941,10.3120,122.9061
342,107.5902,10.1437,117.7339
343,107.4413,9.4710,116.9123
344,106.3112,10.1794,116.4906
345,107.7550,9.5700,117.3250
346,108.1101,9.7050,117.8151
347,105.0468,9.4353,114.4821
348,108.3981,9.9486,118.3467
349,106.9684,9.4309,116.3993
350,109.2379,9.7135,118.9514
351,105.0030,9.5695,114.5725
352,107.9848,9.6880,117.6728
353,108.1626,9.9156,118.0782
354,107.6075,9.5730,117.1805
355,101.9148,9.6725,111.5873
356,108.1949,10.0996,118.2945
357,107.2655,9.1600,116.4255
358,107.2265,9.6698,116.8963
359,106.0531,9.1406,115.1937
360,107.6279,9.3119,116.9398
361,105.7974,8.9987,114.7961
362,105.5105,9.5257,115.0362
363,105.4096,8.9367,114.3463
364,106.0693,8.6047,114.6740
365,108.6155,9.2310,117.8465
366,103.1162,9.2092,112.3254
367,106.6689,9.0674,115.7363
368,108.3508,9.2380,117.5888
369,147.4446,9.4080,156.8526
370,106.7774,9.2550,116.0324
371,111.0892,8.7930,119.8822
372,106.3426,9.6292,115.9718
373,106.6704,9.1492,115.8196
374,101.8427,10.0426,111.8853
375,107.1866,9.1375,116.3241
376,106.7581,9.0967,115.8548
377,105.5927,10.7077,116.3004
378,108.5789,8.5993,117.1782
379,106.4483,8.8287,115.2770
380,98.5964,9.0078,107.6042
381,105.4784,8.4238,113.9022
382,97.3740,7.3284,104.7024
383,84.4002,8.3094,92.7096
384,105.8152,8.4579,114.2731
385,108.7253,8.6131,117.3384
386,106.5072,8.6581,115.1653
387,103.8750,8.9224,112.7974
388,105.0361,7.7766,112.8127
389,105.4380,9.0673,114.5053
390,107.6355,8.4009,116.0364
391,112.4154,9.0541,121.4695
392,111.0631,8.8999,119.9630
393,111.3086,9.2288,120.5374
394,108.6588,8.2124,116.8712
395,112.0348,8.4727,120.5075
396,108.1951,8.6049,116.8000
397,104.9023,8.6639,113.5662
398,107.6849,8.5894,116.2743
399,107.8424,8.4880,116.3304
400,108.3738,8.2504,116.6242
401,98.2549,7.3381,105.5930
402,82.4933,6.6364,89.1297
403,81.6264,6.5479,88.1743
404,90.4137,6.6554,97.0691
405,77.7016,6.8995,84.6011
406,77.8741,6.9614,84.8355
407,84.1116,7.8757,91.9873
408,107.2907,8.2060,115.4967
409,106.9398,8.2340,115.1738
410,107.5045,8.3205,115.8250
411,105.5391,8.3725,113.9116
412,109.5421,8.2213,117.7634
413,109.1709,8.5563,117.7272
414,109.0165,7.9987,117.0152
415,108.0717,8.1803,116.2520
416,107.7039,8.4283,116.1322
417,107.6731,8.3401,116.0132
418,110.6652,9.0012,119.6664
419,104.8612,7.8971,112.7583
420,106.5763,8.3603,114.9366
421,106.9254,8.1535,115.0789
422,108.0431,8.3831,116.4262
423,105.5802,8.8067,114.3869
424,105.9818,8.5478,114.5296
425,99.7336,8.7364,108.4700
426,106.1517,8.7178,114.8695
427,104.9459,8.3965,113.3424
428,105.4853,8.5548,114.0401
429,106.2247,8.6571,114.8818
430,106.5325,8.6665,115.1990
431,105.6716,8.4322,114.1038
432,103.2522,8.4029,111.6551
433,102.6797,7.8837,110.5634
434,103.6748,8.1272,111.8020
435,103.3395,8.3168,111.6563
436,103.6050,8.0860,111.6910
437,103.4869,7.9981,111.4850
438,103.5560,7.7482,111.3042
439,103.8838,8.4073,112.2911
440,104.0581,8.2371,112.2952
441,104.5050,8.4453,112.9503
442,95.6657,8.2675,103.9332
443,102.8512,8.5943,111.4455
444,104.5870,8.1188,112.7058
445,101.8943,7.8532,109.7475
446,100.7709,8.2826,109.0535
447,104.1423,8.5752,112.7175
448,104.1269,8.6839,112.8108
449,96.3435,8.4702,104.8137
450,103.7629,8.3728,112.1357
451,112.4152,10.2765,122.6917
452,117.4428,9.3272,126.7700
453,113.8642,10.2504,124.1146
454,110.0991,8.3154,118.4145
