frame_idx,detector_ms,tracker_ms,total_ms
0,15.2798,21.3973,36.6771
1,15.1833,21.1065,36.2898
2,15.2457,22.2953,37.5410
3,15.7366,20.1317,35.8683
4,15.4249,20.8171,36.2421
5,15.6194,21.8597,37.4791
6,15.5964,21.7467,37.3431
7,15.6107,22.4315,38.0421
8,15.6758,20.9397,36.6155
9,15.6602,20.5837,36.2439
10,15.6245,19.7941,35.4186
11,15.6043,20.7796,36.3839
12,15.5461,19.8549,35.4010
13,15.8541,20.6121,36.4662
14,15.8523,23.3258,39.1782
15,16.0373,20.9872,37.0244
16,15.7301,21.8805,37.6105
17,15.6729,19.7013,35.3742
18,15.7585,21.4036,37.1621
19,15.9160,21.0566,36.9726
20,16.4355,20.5751,37.0106
21,16.1590,21.2211,37.3801
22,16.1462,20.7025,36.8487
23,16.3045,20.2809,36.5853
24,16.1222,20.4910,36.6131
25,16.3325,20.5070,36.8394
26,16.2888,20.6843,36.9731
27,16.1205,21.2589,37.3794
28,16.4049,20.7981,37.2030
29,16.1884,21.6973,37.8857
30,16.8388,20.6184,37.4573
31,16.2501,20.7976,37.0477
32,16.1594,20.9791,37.1385
33,16.2849,22.0289,38.3138
34,16.6091,20.4689,37.0780
35,16.2727,20.3662,36.6389
36,16.3252,20.5744,36.8995
37,16.3255,20.5287,36.8542
38,15.9733,20.8858,36.8591
39,16.3060,20.2174,36.5234
40,16.3083,20.0867,36.3950
41,16.3550,20.4253,36.7803
42,16.3237,20.1882,36.5119
43,16.0970,20.4065,36.5035
44,16.5787,20.9652,37.5439
45,16.5139,19.4737,35.9876
46,16.1570,20.0512,36.2083
47,16.3173,20.8308,37.1481
48,16.0313,19.4708,35.5021
49,16.1595,19.4398,35.5993
50,16.1185,20.3061,36.4247
51,16.3675,19.8407,36.2082
52,16.5509,19.2371,35.7880
53,16.3015,19.6474,35.9489
54,16.0429,20.7031,36.7460
55,16.2556,20.1532,36.4089
56,16.4309,20.8015,37.2324
57,16.4151,21.6428,38.0579
58,16.1593,21.7435,37.9028
59,16.2294,21.3599,37.5893
60,16.6038,21.8448,38.4486
61,16.4714,21.8744,38.3459
62,16.4720,22.2404,38.7125
63,16.3554,21.5322,37.8876
64,16.2450,21.1273,37.3723
65,16.5318,21.8130,38.3448
66,16.4763,21.2901,37.7664
67,16.3529,20.0934,36.4463
68,15.9819,20.2118,36.1937
69,15.8612,20.1082,35.9694
70,16.3431,20.7326,37.0757
71,16.1900,19.9087,36.0987
72,16.3643,20.3254,36.6897
73,16.0952,20.5246,36.6197
74,16.1587,20.3767,36.5354
75,16.3104,20.0280,36.3384
76,16.3209,20.1236,36.4444
77,16.2837,20.2293,36.5130
78,16.2315,20.1662,36.3976
79,15.9050,20.0538,35.9588
80,16.2485,20.7316,36.9801
81,16.2819,20.0411,36.3230
82,16.3814,21.0471,37.4285
83,16.2277,21.2100,37.4377
84,16.0947,23.8418,39.9365
85,16.3106,20.9673,37.2779
86,16.4307,21.1685,37.5991
87,16.3645,21.6099,37.9744
88,16.4172,21.2973,37.7145
89,16.1572,20.7340,36.8912
90,16.2519,20.4216,36.6735
91,16.2961,20.0533,36.3495
92,16.2745,19.7117,35.9861
93,16.3313,19.7096,36.0408
94,16.1566,20.1788,36.3354
95,16.0255,19.8431,35.8686
96,16.4280,19.5609,35.9890
97,16.1443,19.9061,36.0504
98,16.2685,20.3789,36.6475
99,16.0632,20.0333,36.0965
100,16.0081,19.3121,35.3202
101,16.3416,20.1618,36.5035
102,16.2206,19.7434,35.9640
103,16.2504,20.8322,37.0826
104,16.1024,20.2965,36.3988
105,15.9234,20.9055,36.8289
106,16.2372,21.4447,37.6819
107,16.3787,20.0309,36.4096
108,16.3252,20.6871,37.0124
109,16.3294,20.4448,36.7741
110,16.0992,20.2989,36.3982
111,16.3020,23.0224,39.3244
112,16.6199,21.4013,38.0212
113,16.3481,20.4224,36.7705
114,16.5673,21.6694,38.2367
115,16.1615,21.2222,37.3837
116,16.1592,21.4725,37.6317
117,16.4403,21.0964,37.5367
118,16.3326,21.1156,37.4482
119,16.3650,21.6632,38.0282
120,16.3850,21.2394,37.6245
