frame_idx,detector_ms,tracker_ms,total_ms
0,103.4155,3.0607,106.4762
1,103.3029,3.0642,106.3671
2,103.1496,2.9928,106.1424
3,102.4918,2.4160,104.9078
4,103.0474,3.1189,106.1663
5,105.2259,2.5153,107.7412
6,103.6446,3.2857,106.9303
7,102.2808,2.5133,104.7941
8,99.9330,2.6805,102.6135
9,95.3391,3.1823,98.5214
10,102.0681,2.4820,104.5501
11,102.9578,3.2637,106.2215
12,104.9089,3.1869,108.0958
13,103.7601,3.2563,107.0164
14,92.6635,3.2264,95.8899
15,103.4391,3.3244,106.7635
16,105.0385,2.4212,107.4597
17,103.2858,3.2314,106.5172
18,102.4682,2.3746,104.8428
19,99.7605,3.2147,102.9752
20,99.6507,2.9802,102.6309
21,100.1654,3.0308,103.1962
22,99.6553,3.0395,102.6948
23,99.8897,3.0931,102.9828
24,101.0009,2.3382,103.3391
25,99.9437,2.5619,102.5056
26,104.9666,3.3387,108.3053
27,105.0121,2.5431,107.5552
28,104.3711,2.5775,106.9486
29,105.3030,2.6257,107.9287
30,106.3643,3.6553,110.0196
31,106.4056,3.3098,109.7154
32,106.1711,3.2354,109.4065
33,104.0697,3.1677,107.2374
34,104.8781,2.6079,107.4860
35,107.4363,3.0821,110.5184
36,104.2074,3.4263,107.6337
37,107.3501,3.1997,110.5498
38,99.0102,3.2831,102.2933
39,105.5873,2.4544,108.0417
40,105.0882,3.0237,108.1119
41,106.2463,3.1088,109.3551
42,105.7661,2.2527,108.0188
43,106.0990,3.0722,109.1712
44,104.5796,2.5951,107.1747
45,106.1295,2.2319,108.3614
46,103.1310,2.2270,105.3580
47,104.1693,2.5097,106.6790
48,103.8945,2.7081,106.6026
49,105.1628,2.3785,107.5413
50,99.3376,2.9308,102.2684
51,97.1542,2.8940,100.0482
52,106.4408,3.6809,110.1217
53,105.2715,2.9003,108.1718
54,103.4303,2.2244,105.6547
55,103.1113,2.2617,105.3730
56,107.3817,2.3832,109.7649
57,104.2514,2.2918,106.5432
58,103.4293,2.9769,106.4062
59,102.7884,2.3481,105.1365
60,103.4474,3.0290,106.4764
61,104.9921,2.3480,107.3401
62,107.9346,2.9551,110.8897
63,102.6318,2.4096,105.0414
64,108.2529,2.4172,110.6701
65,108.1728,3.0336,111.2064
66,108.6477,2.9938,111.6415
67,108.3308,3.2369,111.5677
68,107.1911,3.0548,110.2459
69,107.4392,3.1570,110.5962
70,97.5208,3.2973,100.8181
71,102.2089,3.0748,105.2837
72,93.6881,3.3335,97.0216
73,103.7361,2.5911,106.3272
74,111.7698,3.2604,115.0302
75,111.1935,3.1085,114.3020
76,104.9441,2.7089,107.6530
77,93.8851,2.9291,96.8142
78,99.8410,2.4106,102.2516
79,99.9368,3.0171,102.9539
80,100.3093,2.9126,103.2219
81,98.1098,2.4024,100.5122
82,98.9782,2.3417,101.3199
83,99.1909,2.9126,102.1035
84,100.7170,3.0601,103.7771
85,101.0831,3.1465,104.2296
86,102.4804,2.9077,105.3881
87,98.3781,2.9945,101.3726
88,96.6032,2.3672,98.9704
89,101.4264,3.0043,104.4307
90,102.6675,2.6369,105.3044
91,104.5937,3.0532,107.6469
92,101.0023,2.4496,103.4519
93,96.2337,2.5613,98.7950
94,95.0432,3.0241,98.0673
95,87.6893,2.7993,90.4886
96,94.0444,2.9309,96.9753
97,100.9378,3.0744,104.0122
98,102.7373,2.9996,105.7369
99,97.8706,2.2794,100.1500
100,97.6116,2.4212,100.0328
101,98.7431,2.3905,101.1336
102,100.1264,2.3640,102.4904
103,100.3183,2.9525,103.2708
104,102.3632,3.0460,105.4092
105,100.8940,3.1617,104.0557
106,94.1869,3.2754,97.4623
107,100.5405,3.1025,103.6430
108,99.0563,2.9975,102.0538
109,100.3960,3.0780,103.4740
110,99.5366,3.1083,102.6449
111,97.4010,3.0938,100.4948
112,99.8972,3.0671,102.9643
113,102.2664,2.2945,104.5609
114,99.0035,3.1287,102.1322
115,100.2634,2.5005,102.7639
116,95.9034,2.9578,98.8612
117,100.8293,3.1165,103.9458
118,104.1207,2.9857,107.1064
119,103.5000,2.9910,106.4910
120,104.5866,3.0791,107.6657
121,104.9966,2.4200,107.4166
122,109.4682,2.2903,111.7585
123,104.1547,2.8494,107.0041
124,105.7378,3.0306,108.7684
125,103.3566,2.2566,105.6132
126,102.6306,2.3996,105.0302
127,105.9107,3.0210,108.9317
128,106.9273,2.9364,109.8637
129,102.0955,2.3663,104.4618
130,106.7698,3.0792,109.8490
131,103.4661,2.3857,105.8518
132,105.4566,2.9446,108.4012
133,102.7509,2.2272,104.9781
134,104.5668,2.8601,107.4269
135,104.4740,2.9555,107.4295
136,104.7936,2.8085,107.6021
137,99.9177,2.3735,102.2912
138,100.9146,3.1220,104.0366
139,98.7901,2.5073,101.2974
140,103.7613,2.9221,106.6834
141,101.5122,2.8992,104.4114
142,104.1462,4.0940,108.2402
143,102.9523,2.3601,105.3124
144,106.0704,2.8005,108.8709
145,106.7902,2.8571,109.6473
146,110.9110,3.0750,113.9860
147,103.2556,2.2596,105.5152
148,100.1816,2.2734,102.4550
149,103.7147,3.2134,106.9281
150,102.3546,2.7668,105.1214
151,104.0643,2.8854,106.9497
152,102.0962,2.3266,104.4228
153,102.4319,2.3796,104.8115
154,98.7163,2.8882,101.6045
155,103.0645,2.3627,105.4272
156,95.6784,2.4103,98.0887
157,98.0442,3.0640,101.1082
158,96.0415,3.0614,99.1029
159,101.0851,2.9833,104.0684
160,102.5586,2.3512,104.9098
161,102.7616,2.3487,105.1103
162,108.4637,2.7449,111.2086
163,105.6930,3.0083,108.7013
164,100.1910,2.8949,103.0859
165,104.1312,2.2709,106.4021
166,103.0329,2.2733,105.3062
167,100.2776,2.9018,103.1794
168,101.8307,2.7874,104.6181
169,102.3945,3.1325,105.5270
170,102.6449,2.3120,104.9569
171,104.4964,2.3237,106.8201
172,101.6662,2.1684,103.8346
173,102.7803,2.7466,105.5269
174,101.4518,2.2569,103.7087
175,101.4656,2.8606,104.3262
176,101.3660,2.2468,103.6128
177,92.8285,2.9513,95.7798
178,91.6873,2.2581,93.9454
179,101.3704,2.5402,103.9106
180,101.3852,2.2841,103.6693
181,101.7413,2.7161,104.4574
182,102.2484,2.1629,104.4113
183,101.7902,2.5872,104.3774
184,101.2981,2.9394,104.2375
185,103.8200,2.8692,106.6892
186,102.2277,2.8702,105.0979
187,104.8181,2.4197,107.2378
188,105.7251,3.0354,108.7605
189,105.9423,2.3011,108.2434
190,101.5966,2.2851,103.8817
191,106.8396,2.3779,109.2175
192,104.5324,2.9325,107.4649
193,103.7075,2.7274,106.4349
194,104.9880,2.2681,107.2561
195,104.9705,2.8588,107.8293
196,95.8030,2.8938,98.6968
197,106.6714,2.8865,109.5579
198,103.5473,2.2307,105.7780
199,105.6008,2.7102,108.3110
200,104.8427,2.2001,107.0428
201,104.0516,2.9475,106.9991
202,101.9068,2.8081,104.7149
203,101.9560,2.8996,104.8556
204,93.1262,2.1112,95.2374
205,103.3328,2.7727,106.1055
206,103.4083,2.9230,106.3313
207,102.5073,2.1376,104.6449
208,105.0630,2.7043,107.7673
209,103.9982,2.8047,106.8029
210,90.6930,2.2511,92.9441
211,105.0522,2.1460,107.1982
212,91.0161,2.1971,93.2132
213,103.8951,2.0478,105.9429
214,101.6944,2.7136,104.4080
215,104.1783,2.2303,106.4086
216,102.8002,2.0442,104.8444
217,101.3759,2.6150,103.9909
218,100.5944,2.6383,103.2327
219,102.0091,2.5361,104.5452
220,102.8346,2.6154,105.4500
221,101.9731,2.1531,104.1262
222,102.3237,2.1513,104.4750
223,101.9045,2.8146,104.7191
224,100.3240,2.6871,103.0111
225,92.0658,2.6937,94.7595
226,101.4819,2.8104,104.2923
227,102.8075,2.2752,105.0827
228,100.2006,2.7448,102.9454
229,100.6432,2.7486,103.3918
230,102.8621,2.2639,105.1260
231,100.1024,2.8087,102.9111
232,102.3701,2.6715,105.0416
233,100.6422,2.6486,103.2908
234,100.3939,2.4594,102.8533
235,103.3803,2.6446,106.0249
236,105.9884,2.6918,108.6802
237,98.0663,2.7407,100.8070
238,103.2665,2.7850,106.0515
239,102.0493,2.6903,104.7396
240,103.6858,2.7935,106.4793
241,102.7348,2.6954,105.4302
242,99.8786,2.0904,101.9690
