frame_idx,detector_ms,tracker_ms,total_ms
0,12.0326,4.9787,17.0113
1,12.9340,5.1740,18.1080
2,12.5955,4.7857,17.3812
3,11.7116,5.9433,17.6549
4,12.2537,5.0551,17.3088
5,12.6910,5.1189,17.8100
6,12.4561,5.4981,17.9542
7,13.1582,5.4928,18.6510
8,12.8170,5.0140,17.8310
9,11.9691,4.9357,16.9047
10,16.3520,5.2845,21.6365
11,11.5908,4.8851,16.4759
12,12.1641,5.0607,17.2249
13,11.5767,5.0985,16.6752
14,11.5649,5.0847,16.6496
15,13.0835,4.9635,18.0470
16,11.5712,4.8216,16.3928
17,12.1356,4.1611,16.2967
18,12.7910,4.5049,17.2959
19,12.3901,5.1370,17.5271
20,12.0013,4.6642,16.6656
21,12.3564,4.5924,16.9487
22,12.1611,4.5860,16.7470
23,12.3351,4.9306,17.2657
24,12.4997,4.6352,17.1349
25,11.9317,4.8480,16.7797
26,11.6820,4.3314,16.0134
27,12.2421,4.8304,17.0725
28,11.6744,5.0368,16.7112
29,11.6317,4.7762,16.4079
30,12.9766,4.7169,17.6934
31,11.7252,5.1466,16.8718
32,11.4681,4.9474,16.4155
33,11.9982,4.8288,16.8270
34,11.5939,4.6646,16.2584
35,13.3387,5.1377,18.4764
36,13.2301,4.9227,18.1529
37,11.9533,4.6136,16.5669
38,11.4575,5.3501,16.8075
39,11.8020,4.3929,16.1949
40,12.1017,4.5250,16.6267
41,11.4625,4.3656,15.8282
42,12.1260,4.4743,16.6003
43,12.3454,4.6432,16.9886
44,12.0842,4.5011,16.5853
45,12.3218,3.9733,16.2950
46,11.8532,4.2183,16.0715
47,11.8275,3.9718,15.7993
48,12.6466,4.2196,16.8662
49,12.2788,4.2864,16.5652
50,11.9466,4.0632,16.0098
51,12.1748,4.3790,16.5538
52,12.0097,4.2295,16.2391
53,11.4702,4.3748,15.8450
54,12.7345,4.5566,17.2911
55,12.0119,4.1288,16.1408
56,11.8329,3.8580,15.6909
57,12.4582,3.9673,16.4255
58,11.8365,4.0954,15.9319
59,11.9935,4.1092,16.1026
60,11.4981,4.7853,16.2834
61,11.4831,4.7669,16.2500
62,11.6976,4.3783,16.0759
63,12.0101,5.2726,17.2827
64,11.7967,4.8225,16.6193
65,12.4071,4.8153,17.2224
66,11.6873,5.4320,17.1193
67,12.6358,4.9255,17.5614
68,12.3512,4.6281,16.9793
69,11.8242,7.0609,18.8851
70,12.7908,5.1748,17.9656
71,13.2194,5.2005,18.4199
72,12.6527,5.6213,18.2740
73,12.5618,6.3895,18.9513
74,13.5849,4.9002,18.4851
75,12.1263,4.7358,16.8621
76,12.4410,4.1992,16.6402
77,11.7232,4.4248,16.1480
78,13.8160,4.4959,18.3119
79,12.4511,4.2268,16.6779
80,12.0406,4.2294,16.2699
81,12.5349,4.3884,16.9233
82,11.5479,4.3195,15.8674
83,12.4442,4.2587,16.7029
84,12.1152,4.5681,16.6833
85,11.5579,4.5360,16.0939
86,12.2865,4.5782,16.8647
87,12.6539,4.2981,16.9520
88,11.9102,4.2796,16.1898
89,11.7520,4.6384,16.3904
90,13.7286,4.7393,18.4679
91,11.6048,4.0873,15.6921
92,12.3942,4.2953,16.6895
93,12.1346,4.6443,16.7789
94,14.5850,4.8218,19.4068
95,11.7804,4.2856,16.0660
96,13.1282,5.1108,18.2390
97,11.9058,5.2327,17.1384
98,13.1351,5.3340,18.4691
99,12.1654,4.8675,17.0329
100,11.9588,5.2580,17.2168
101,12.1026,5.5578,17.6603
102,12.6601,4.6971,17.3571
103,11.8695,4.6780,16.5475
104,12.4294,5.0299,17.4593
105,12.0302,4.4109,16.4411
106,11.7490,4.5340,16.2830
107,11.6918,5.1390,16.8307
108,13.0757,4.6420,17.7178
109,11.9708,5.1403,17.1111
110,12.4213,6.6918,19.1131
111,14.8628,5.2249,20.0877
112,11.7243,4.6316,16.3558
113,12.3474,4.7964,17.1438
114,11.4783,4.3210,15.7994
115,12.5875,4.5372,17.1248
116,11.6032,5.0186,16.6218
117,11.6392,4.3975,16.0367
118,11.8256,4.7799,16.6056
119,11.9238,5.2665,17.1903
120,11.5198,4.4212,15.9410
121,11.9501,4.6374,16.5875
122,11.6947,5.3528,17.0475
123,11.9411,4.8989,16.8400
124,12.2040,4.6112,16.8152
125,12.2381,5.2909,17.5290
126,11.9826,4.7989,16.7816
127,11.8143,5.1057,16.9200
128,13.8789,4.7137,18.5926
129,11.5214,5.0042,16.5256
130,11.6407,4.6854,16.3261
131,13.1624,5.0123,18.1747
132,11.8630,4.5026,16.3656
133,13.6863,4.3354,18.0217
134,13.3708,4.7597,18.1305
135,11.4861,4.5187,16.0048
136,12.1345,4.4258,16.5604
137,12.8241,4.6382,17.4622
138,11.9037,5.1607,17.0643
139,12.0441,4.7275,16.7716
140,13.0188,4.5228,17.5416
141,11.8832,4.1945,16.0777
142,11.6295,3.9830,15.6126
143,12.3799,4.4514,16.8313
144,12.0439,4.5468,16.5907
145,11.6453,4.3235,15.9688
146,11.6631,5.0295,16.6926
147,11.9064,4.4327,16.3392
148,11.7257,4.3456,16.0713
149,12.3092,5.1329,17.4421
150,11.9118,4.2100,16.1218
151,11.6049,5.0581,16.6630
152,12.1404,4.7180,16.8584
153,14.1051,4.8331,18.9382
154,12.5921,4.4743,17.0664
155,12.0156,4.7400,16.7556
156,12.1200,5.1911,17.3111
