frame_idx,detector_ms,tracker_ms,total_ms
0,97.9764,731.9192,829.8956
1,91.9058,613.7180,705.6238
2,94.1214,642.7967,736.9181
3,129.6998,699.0133,828.7131
4,102.0840,731.4156,833.4996
5,110.1890,692.7962,802.9852
6,113.6180,826.5923,940.2103
7,106.5006,727.9992,834.4998
8,74.4849,655.7361,730.2210
9,101.3284,659.7315,761.0599
10,180.6276,662.8421,843.4697
11,101.6023,831.3108,932.9131
12,106.7076,750.8878,857.5954
13,102.6259,750.3983,853.0242
14,188.4080,716.8238,905.2318
15,81.8381,659.3367,741.1748
16,86.1736,650.0255,736.1991
17,93.0412,672.1537,765.1949
18,93.3741,648.2244,741.5985
19,117.5342,646.1126,763.6468
20,91.4182,658.0102,749.4284
21,87.2092,639.7814,726.9906
22,87.3983,618.5369,705.9352
23,83.6271,618.6474,702.2745
24,95.3869,656.0193,751.4062
25,97.6328,622.3810,720.0138
26,84.2553,610.6001,694.8554
27,91.0112,679.5379,770.5491
28,79.9326,635.8373,715.7699
29,86.5619,661.6205,748.1824
30,89.5794,619.7583,709.3377
31,91.2028,626.8807,718.0835
32,77.0314,634.6771,711.7085
33,87.4123,611.9621,699.3744
34,83.8927,604.0542,687.9469
35,93.7384,613.7899,707.5283
36,78.1322,631.1227,709.2549
37,73.2997,640.8133,714.1130
38,99.7716,634.0061,733.7777
39,106.8622,711.7879,818.6501
40,106.4167,661.1362,767.5529
41,105.3581,756.4063,861.7644
42,93.4010,589.4715,682.8725
43,95.0926,590.4002,685.4928
44,97.9599,575.3109,673.2708
45,100.7958,530.5914,631.3872
46,98.0905,570.6850,668.7755
47,94.7924,518.6547,613.4471
48,91.5782,504.7337,596.3119
49,88.1721,508.1419,596.3140
50,93.3044,483.3320,576.6364
51,81.9863,533.0152,615.0015
52,111.0920,550.5761,661.6681
53,99.3980,527.0628,626.4608
54,89.6890,540.7904,630.4794
55,89.5238,529.6511,619.1749
56,79.0842,526.3141,605.3983
57,98.7885,640.9505,739.7390
58,113.8151,607.8315,721.6466
59,95.9626,696.6518,792.6144
60,87.8248,576.0045,663.8293
61,86.3864,591.2957,677.6821
62,115.9082,568.0919,684.0001
63,86.5067,556.9724,643.4791
64,87.7321,584.3757,672.1078
65,87.9671,579.1068,667.0739
66,91.3092,591.1547,682.4639
67,81.3661,628.4683,709.8344
68,88.3863,593.3174,681.7037
69,106.7680,766.6300,873.3980
70,131.8062,737.4663,869.2725
71,121.2346,710.2188,831.4534
72,86.6714,675.9290,762.6004
