frame_idx,detector_ms,tracker_ms,total_ms
0,20.6912,1047.3214,1068.0126
1,17.7627,1050.9624,1068.7252
2,17.6583,1049.1007,1066.7590
3,24.4850,979.4800,1003.9650
4,17.5255,998.7077,1016.2332
5,17.6266,1122.2071,1139.8337
6,17.4377,993.8819,1011.3196
7,17.4890,976.1385,993.6275
8,17.4313,1163.1990,1180.6302
9,17.7321,968.1477,985.8798
10,17.5653,1100.4714,1118.0367
11,18.0708,1060.5125,1078.5833
12,17.6827,984.1970,1001.8797
13,17.5758,1044.8343,1062.4101
14,17.5618,1190.7291,1208.2908
15,19.4536,1163.2758,1182.7294
16,17.5601,1064.5193,1082.0794
17,17.4831,1254.1801,1271.6631
18,17.5630,1137.8274,1155.3905
19,17.6473,1020.3836,1038.0308
20,17.5455,1030.6035,1048.1491
21,17.7008,921.8455,939.5464
22,17.6911,1034.2277,1051.9188
23,17.7880,1054.4589,1072.2469
24,17.6067,1062.9723,1080.5789
25,17.7094,943.4882,961.1976
26,17.5156,938.1671,955.6827
27,17.7206,1207.6732,1225.3938
28,18.3316,1009.5013,1027.8329
29,17.6008,1134.2524,1151.8533
30,22.7457,1112.6765,1135.4222
31,17.6306,1124.9639,1142.5945
32,17.6602,1067.5855,1085.2457
33,23.7713,980.6936,1004.4648
34,34.6095,971.7325,1006.3420
35,17.5509,980.7158,998.2667
36,17.6774,1085.0526,1102.7301
37,17.6551,1123.4115,1141.0666
38,28.6047,990.0040,1018.6087
39,25.8271,1078.3747,1104.2018
40,17.8271,1056.7479,1074.5750
41,17.5459,1034.4731,1052.0190
42,17.5928,989.9913,1007.5841
43,17.5354,1093.7730,1111.3085
44,17.6936,1036.8637,1054.5573
45,17.6448,1000.8844,1018.5292
46,37.0724,918.6235,955.6959
47,17.5318,1011.6061,1029.1379
48,17.5496,967.6920,985.2415
49,17.5543,997.2508,1014.8051
50,17.6522,969.0631,986.7153
51,17.5646,1109.9505,1127.5151
52,17.7301,919.6783,937.4084
53,17.8886,975.9799,993.8684
54,17.6813,925.4478,943.1292
55,18.5097,1050.5226,1069.0323
56,20.1786,1012.7364,1032.9150
57,17.7201,1000.2148,1017.9349
58,17.6852,956.5974,974.2826
59,17.7158,1024.2463,1041.9621
60,17.8797,1129.2297,1147.1093
61,17.8262,1053.3969,1071.2231
62,17.6601,1017.9505,1035.6105
63,29.9562,1122.1734,1152.1296
64,17.7559,1194.7237,1212.4797
65,33.7034,1182.3739,1216.0773
66,17.8615,1136.5410,1154.4024
67,18.4833,1193.0364,1211.5198
68,17.7041,1141.8933,1159.5974
69,18.5055,1150.9810,1169.4865
70,17.7034,1293.5085,1311.2119
71,17.6278,1267.2496,1284.8774
72,17.7554,1267.8509,1285.6063
73,23.7310,1259.7995,1283.5305
74,17.5312,1252.2805,1269.8117
75,35.7294,1202.9809,1238.7102
76,17.5615,1204.0381,1221.5997
77,17.3764,1096.0862,1113.4626
78,17.3712,1132.0377,1149.4089
79,17.4959,1208.8789,1226.3748
80,17.5276,1092.6445,1110.1721
81,17.5586,1268.5494,1286.1080
82,17.6583,1174.6720,1192.3303
83,17.4645,1060.4485,1077.9131
84,17.3356,1122.7214,1140.0570
85,32.1129,1050.1968,1082.3096
86,17.4270,1124.9241,1142.3512
87,34.6143,1118.4530,1153.0674
88,17.6411,1076.6964,1094.3376
89,17.4340,1127.1209,1144.5548
